Caption	Image ID
<span RHS><i>Tradescantia virginiana</i> 'Alba'</span>	P02656
<span RHS><i>Tricyrtis formosana</i> 'Dark Beauty'</span>	P02657
<span RHS><i>Tricyrtis</i> 'Tojen'</span>	P02658
<span RHS><i>Trifolium rubens</i> 'Peach Pink'</span>	P02659
<span RHS><i>Trifolium rubens</i> 'Peach Pink'</span>	P02660
<span RHS><i>Tropaeolum majus</i> 'Red Wonder'</span>	P02661
<span RHS><i>Tulipa</i> 'Aladdin' (6)</span>	P02662
<span RHS><i>Tulipa</i> 'Ballade' (6) AGM</span>	P02663
<span RHS><i>Tulipa</i> 'Ballerina' (6) AGM</span>	P02664
<span RHS><i>Tulipa</i> 'Black Parrot' (10) AGM</span>	P02665
<span RHS><i>Tulipa</i> 'Black Parrot' (10) AGM</span>	P02666
<span RHS><i>Tulipa</i> 'Burgundy Lace' (7)</span>	P02667
<span RHS><i>Tulipa clusiana</i> 'Cynthia' (15) AGM</span>	P02668
<span RHS><i>Tulipa</i> 'Flaming Parrot' (10)</span>	P02669
<span RHS><i>Tulipa</i> 'Für Elise' (14)</span>	P02670
<span RHS><i>Tulipa</i> 'Für Elise' (14)</span>	P02671
<span RHS><i>Tulipa</i> 'Gavota' (3) AGM</span>	P02672
<span RHS><i>Tulipa</i> 'Golden Artist' (8)</span>	P02673
<span RHS><i>Tulipa</i> 'Green Village' (8)</span>	P02674
<span RHS><i>Tulipa</i> 'Green Village' (8)</span>	P02675
<span RHS><i>Tulipa humilis</i> 'Persian Pearl' (15)</span>	P02676
<span RHS><i>Tulipa</i> 'Humming Bird' (8)</span>	P02677
<span RHS><i>Tulipa</i> 'Maytime' (6)</span>	P02678
<span RHS><i>Tulipa</i> 'Queen of Night' (5)</span>	P02679
<span RHS><i>Tulipa sprengeri</i> (15) AGM</span>	P02680
<span RHS><i>Tulipa sprengeri</i> (15) AGM</span>	P02681
<span RHS><i>Tulipa</i> 'Spring Green' (8) AGM</span>	P02682
<span RHS><i>Tulipa</i> 'World's Favourite' (4) AGM</span>	P02683
<span RHS><i>Uvularia grandiflora</i> var. <i>pallida</i></span>	P02684
<span RHS><i>Uvularia grandiflora</i> AGM</span>	P02685
<span RHS><i>Valeriana officinalis</i></span>	P02686
<span RHS><i>Valeriana officinalis</i></span>	P02687
<span RHS><i>Verbascum chaixii</i> 'Album'</span>	P02688
<span RHS><i>Verbascum chaixii</i> 'Album'</span>	P02689
<span RHS><i>Verbascum creticum</i></span>	P02690
<span RHS><i>Verbascum</i> 'Jackie'</span>	P02691
<span RHS><i>Verbascum nigrum</i></span>	P02692
<span RHS><i>Veronica austriaca</i> subsp. <i>teucrium</i> 'Crater Lake Blue' AGM</span>	P02693
<span RHS><i>Veronica gentianoides</i> 'Variegata' (v)</span>	P02694
<span RHS><i>Viburnum carlesii</i></span>	P02695
<span RHS><i>Viburnum plicatum</i> f. <i>tomentosum</i> 'Mariesii' AGM</span>	P02696
<span RHS><i>Viburnum plicatum</i> f. <i>tomentosum</i> 'Mariesii' AGM</span>	P02697
<span RHS><i>Viburnum plicatum</i> f. <i>tomentosum</i> 'Mariesii' AGM</span>	P02698
<span RHS><i>Viburnum rhytidophyllum</i></span>	P02699
<span RHS><i>Viola</i> 'Molly Sanderson' (Va) AGM</span>	P02700
<span RHS><i>Viola sororia</i> 'Freckles' (Vt)</span>	P02701
<span RHS><i>Weigela middendorffiana</i></span>	P02702
<span RHS><i>Symphyotrichum novi-belgii</i> 'Farncombe Lilac'</span>	P02703
<span RHS><i>Geranium</i> <span class="trade-name">Summer Skies</span> = 'Gernic' <sup>(PBR)</sup> (d)</span>	P02704
<span RHS><i>Geranium</i> &times; <i>oxonianum</i> 'Claridge Druce'</span>	P02705
<span RHS><i>Geranium</i> &times; <i>oxonianum</i> 'Rose Clair'</span>	P02706
<span RHS><i>Eucomis bicolor</i> AGM</span>	P02707
<span RHS><i>Lilium</i> 'Star Gazer' (VIIa/c)</span>	P02708
<span RHS><i>Nerine</i> 'Miss E. Cator'</span>	P02709
<i>Eucomis pole-evansii</i>	P02710
<span RHS><i>Cyclamen persicum</i></span>	P02711
<span RHS><i>Erythronium dens-canis</i> 'Purple King'</span>	P02712
<span RHS><i>Anemone nemorosa</i> 'Bowles's Purple'</span>	P02713
<span RHS><i>Erythronium californicum</i> 'White Beauty' AGM</span>	P02714
<span RHS><i>Calceolaria</i> 'Walter Shrimpton'</span>	P02715
<span RHS><i>Hyacinthus orientalis</i> 'Carnegie'</span>	P02716
<span RHS><i>Tulipa humilis</i> 'Lilliput' (15)</span>	P02717
<span RHS><i>Eucomis vandermerwei</i> AGM</span>	P02718
<span RHS><i>Narcissus</i> 'Bravoure' (1) AGM</span>	P02719
<span RHS><i>Ipheion</i> 'Alberto Castillo' AGM</span>	P02720
<span RHS><i>Pulmonaria</i> 'Silver Spring'</span>	P02721
<span RHS><i>Pulmonaria</i> 'Silver Spring'</span>	P02722
<span RHS><i>Pulmonaria</i> 'Silver Spring'</span> - foliage	P02723
<span RHS><i>Pulmonaria saccharata</i> 'Diana Chappell'</span> - foliage	P02724
<span RHS><i>Pulmonaria saccharata</i> 'Diana Chappell'</span>	P02725
<span RHS><i>Pulmonaria</i> 'Mado'</span>	P02726
<span RHS><i>Pulmonaria</i> 'Beth's Blue'</span>	P02727
<span RHS><i>Pulmonaria</i> 'Beth's Blue'</span>	P02728
<span RHS><i>Pulmonaria</i> 'Excalibur'</span>	P02729
<span RHS><i>Pulmonaria</i> 'Excalibur'</span>	P02730
<span RHS><i>Pulmonaria longifolia</i></span> - foliage	P02731
<span RHS><i>Pulmonaria longifolia</i></span>	P02732
<span RHS><i>Acer palmatum</i> 'Bloodgood' (A) AGM</span> - autumn colour	P02733
<span RHS><i>Acer palmatum</i> 'Dissectum' (D)</span>	P02734
<span RHS><i>Acer palmatum</i> 'Katsura' (P) AGM</span>	P02735
<span RHS><i>Acer palmatum</i> 'Sango-kaku' (P) AGM</span>	P02736
<span RHS><i>Berberis</i> 'Georgei' AGM</span>	P02737
<span RHS><i>Cistus</i> &times; <i>purpureus</i> AGM</span>	P02738
<span RHS><i>Cornus alba</i> 'Sibirica' AGM</span> - winter stems	P02739
<span RHS><i>Cornus controversa</i> 'Variegata' (v) AGM</span>	P02740
<span RHS><i>Cornus sanguinea</i> 'Midwinter Fire'</span> - winter stems	P02741
<span RHS><i>Cornus kousa</i> 'Miss Satomi' AGM</span>	P02742
<span RHS><i>Cotoneaster</i> 'Saint Monica'</span>	P02743
<span RHS><i>Davidia involucrata</i> AGM</span>	P02744
<span RHS><i>Tasmannia lanceolata</i></span>	P02745
<span RHS><i>Elaeagnus pungens</i> 'Maculata' (v)</span>	P02746
<span RHS><i>Euonymus alatus</i></span>	P02747
<span RHS><i>Euonymus planipes</i></span>	P02748
<span RHS><i>Fuchsia fulgens</i> var. <i>minuata</i></span>	P02749
<span RHS><i>Garrya elliptica</i> (m)</span>	P02750
<span RHS><i>Helianthemum</i> 'Fire Dragon' AGM</span>	P02752
<span RHS><i>Helianthemum</i> 'Henfield Brilliant' AGM</span>	P02753
<span RHS><i>Helianthemum</i> 'Ovum Supreme'</span>	P02754
<span RHS><i>Potentilla</i> 'White Beauty'</span>	P02755
<span RHS><i>Skimmia</i> &times; <i>confusa</i> 'Kew Green' (m) AGM</span>	P02756
<span RHS><i>Sorbus pseudohupehensis</i> 'Pink Pagoda' AGM</span>	P02757
<span RHS><i>Spiraea japonica</i> <span class="trade-name">Magic Carpet</span> = 'Walbuma' <sup>(PBR)</sup> (v) AGM</span>	P02758
<span RHS><i>Syringa vulgaris</i> 'Silver King'</span>	P02759
<i>Weigela florida</i> Wine and Roses = 'Alexandra'	P02760
<span RHS><i>Weigela</i> 'Red Prince' AGM</span>	P02761
<span RHS><i>Yucca gloriosa</i> AGM</span>	P02762
<span RHS><i>Zauschneria californica</i> 'Western Hills' AGM</span>	P02763
<span RHS><i>Carex elata</i> 'Aurea' AGM</span>	P02764
<span RHS><i>Hakonechloa macra</i> 'Aureola' AGM</span>	P02765
<span RHS><i>Pennisetum orientale</i> AGM</span>	P02766
<span RHS><i>Uncinia rubra</i></span>	P02767
<span RHS><i>Miscanthus transmorrisonensis</i></span>	P02768
<span RHS><i>Miscanthus sinensis</i> 'Malepartus'</span>	P02769
<span RHS><i>Stipa calamagrostis</i></span>	P02770
<span RHS><i>Cortaderia selloana</i> 'Albolineata' (v)</span>	P02771
<span RHS><i>Imperata cylindrica</i> 'Rubra'</span>	P02772
<span RHS><i>Cortaderia selloana</i> 'Pumila' AGM</span>	P02773
<span RHS><i>Pennisetum villosum</i> AGM</span>	P02774
<span RHS><i>Achillea</i> 'Fanal'</span>	P02775
<span RHS><i>Achillea millefolium</i> 'Rose Madder'</span>	P02776
<span RHS><i>Alstroemeria</i> 'Oriana' AGM</span>	P02777
<span RHS><i>Alstroemeria</i> 'Spitfire' (v) AGM</span>	P02778
<span RHS><i>Anaphalis triplinervis</i> AGM</span>	P02779
<span RHS><i>Anemone</i> &times; <i>hybrida</i> 'Königin Charlotte' AGM</span>	P02780
<span RHS><i>Anemone hupehensis</i> var. <i>japonica</i> 'Prinz Heinrich'</span>	P02781
<span RHS><i>Arisaema candidissimum</i> AGM</span>	P02782
<span RHS><i>Aster amellus</i> 'King George' AGM</span>	P02783
<span RHS><i>Symphyotrichum novae-angliae</i> 'Anabelle de Chazal'</span>	P02784
<span RHS><i>Symphyotrichum novae-angliae</i> 'Lou Williams'</span>	P02785
<span RHS><i>Astrantia</i> 'Buckland'</span>	P02786
<span RHS><i>Astrantia maxima</i> AGM</span>	P02787
<span RHS><i>Bergenia</i> 'Beethoven'</span>	P02788
<span RHS><i>Bergenia</i> 'Bressingham Ruby'</span>	P02789
<span RHS><i>Brunnera macrophylla</i> 'Dawson's White' (v)</span>	P02790
<span RHS><i>Campanula glomerata</i> 'Caroline' AGM</span>	P02791
<span RHS><i>Centaurea montana</i> 'Alba'</span>	P02792
<span RHS><i>Crocosmia</i> &times; <i>crocosmiiflora</i> 'Emily McKenzie'</span>	P02793
<span RHS><i>Crocosmia</i> 'Severn Sunrise' AGM</span>	P02794
<span RHS><i>Crocosmia</i> &times; <i>crocosmiiflora</i> 'Star of the East' AGM</span>	P02795
<span RHS><i>Dicentra</i> 'King of Hearts'</span>	P02796
<span RHS><i>Doronicum pardalianches</i></span>	P02797
<span RHS><i>Dracunculus vulgaris</i></span>	P02798
<span RHS><i>Euphorbia</i> <span class="trade-name">Blackbird</span> = 'Nothowlee' <sup>(PBR)</sup></span>	P02799
<span RHS><i>Euphorbia characias</i> 'Kestrel' (v)</span>	P02800
<span RHS><i>Euphorbia characias</i> 'Portuguese Velvet'</span>	P02801
<span RHS><i>Euphorbia corallioides</i></span>	P02802
<span RHS><i>Euphorbia cyparissias</i> 'Fens Ruby'</span>	P02803
<span RHS><i>Euphorbia donii</i> 'Amjillasa'</span>	P02804
<span RHS><i>Euphorbia griffithii</i> 'Wickstead'</span>	P02806
<span RHS><i>Euphorbia lathyris</i></span>	P02807
<span RHS><i>Euphorbia</i> <span class="trade-name">Blackbird</span> = 'Nothowlee' <sup>(PBR)</sup></span>	P02809
<span RHS><i>Euphorbia</i> <span class="trade-name">Excalibur</span> = 'Froeup' <sup>(PBR)</sup></span>	P02810
<span RHS><i>Euphorbia</i> <span class="trade-name">Excalibur</span> = 'Froeup' <sup>(PBR)</sup></span>	P02811
<span RHS><i>Euphorbia lathyris</i></span>	P02812
<span RHS><i>Euphorbia corallioides</i></span>	P02815
<span RHS><i>Euphorbia</i> 'Blue Haze'</span>	P02816
<span RHS><i>Euphorbia ceratocarpa</i> AGM</span>	P02817
<span RHS><i>Euphorbia characias</i> 'Black Pearl'</span>	P02818
<span RHS><i>Euphorbia characias</i> subsp. <i>characias</i> 'Blue Hills' AGM</span>	P02819
<span RHS><i>Euphorbia characias</i> 'Variegata' (v)</span>	P02820
<span RHS><i>Euphorbia donii</i> 'Amjillasa'</span>	P02821
<span RHS><i>Euphorbia myrsinites</i> AGM</span>	P02822
<span RHS><i>Euphorbia palustris</i> AGM</span>	P02823
<span RHS><i>Euphorbia palustris</i> AGM</span>	P02824
<span RHS><i>Euphorbia palustris</i> AGM</span>	P02825
<span RHS><i>Euphorbia</i> &times; <i>pasteurii</i></span>	P02826
<span RHS><i>Euphorbia</i> &times; <i>pasteurii</i></span>	P02827
<span RHS><i>Euphorbia epithymoides</i> 'Bonfire' <sup>(PBR)</sup></span>	P02829
<span RHS><i>Euphorbia epithymoides</i> 'First Blush' (v)</span>	P02830
<span RHS><i>Euphorbia epithymoides</i> 'Candy'</span>	P02831
<span RHS><i>Euphorbia epithymoides</i> 'Lacy' (v)</span>	P02832
<span RHS><i>Euphorbia rigida</i> AGM</span>	P02833
<span RHS><i>Euphorbia rigida</i> AGM</span>	P02834
<span RHS><i>Euphorbia rigida</i> 'Sardis'</span>	P02835
<span RHS><i>Euphorbia rigida</i> 'Sardis'</span>	P02836
<span RHS><i>Euphorbia amygdaloides</i> var. <i>robbiae</i> AGM</span>	P02837
<span RHS><i>Euphorbia sikkimensis</i> AGM</span>	P02838
<span RHS><i>Euphorbia stygiana</i></span>	P02839
<span RHS><i>Euphorbia</i> 'Velvet Ruby'</span>	P02840
<span RHS><i>Euphorbia glauca</i></span>	P02841
<span RHS><i>Euphorbia hyberna</i></span>	P02842
<span RHS><i>Euphorbia margalidiana</i> AGM</span>	P02843
<span RHS><i>Euphorbia nereidum</i> AGM</span>	P02844
<span RHS><i>Euphorbia nicaeensis</i></span>	P02845
<span RHS><i>Euphorbia pithyusa</i></span>	P02846
<span RHS><i>Euphorbia</i> <span class="trade-name">Redwing</span> = 'Charam' <sup>(PBR)</sup></span>	P02847
<span RHS><i>Echinacea purpurea</i> 'Purity' <sup>(PBR)</sup></span>	P02848
<span RHS><i>Erigeron</i> 'Festivity'</span>	P02849
<span RHS><i>Erodium</i> 'Stephanie'</span>	P02850
<span RHS><i>Eryngium bourgatii</i> 'Picos Blue' <sup>(PBR)</sup> AGM</span>	P02851
<span RHS><i>Gaillardia</i> &times; <i>grandiflora</i> 'Bremen'</span>	P02852
<span RHS><i>Geranium wallichianum</i> 'Buxton's Variety'</span>	P02853
<span RHS><i>Euphorbia schillingii</i> AGM</span>	P02854
<span RHS><i>Euphorbia seguieriana</i></span>	P02855
<span RHS><i>Euphorbia</i> 'Whistleberry Garnet' AGM</span>	P02856
<span RHS><i>Geranium pratense</i> 'Plenum Violaceum' (d) AGM</span>	P02857
<span RHS><i>Geranium renardii</i> AGM</span>	P02858
<span RHS><i>Geranium</i> 'Sue Crûg'</span>	P02859
<span RHS><i>Geum</i> 'Fire Opal' (d) AGM</span>	P02860
<span RHS><i>Helenium</i> 'Königstiger' AGM</span>	P02861
<span RHS><i>Helenium</i> 'Rubinzwerg' AGM</span>	P02862
<span RHS><i>Helianthus</i> 'Loddon Gold' AGM</span>	P02863
<span RHS><i>Helleborus</i> &times; <i>hybridus</i></span> yellow spotted	P02864
<span RHS><i>Helleborus</i> &times; <i>hybridus</i></span> purple and white	P02865
<span RHS><i>Helleborus</i> &times; <i>hybridus</i></span> dark red	P02866
<span RHS><i>Hemerocallis</i> 'Black Eyed Susan'</span>	P02867
<span RHS><i>Hemerocallis</i> 'Catherine Woodbery'</span>	P02868
<span RHS><i>Hemerocallis</i> 'El Desperado'</span>	P02869
<span RHS><i>Hemerocallis</i> 'Sammy Russell'</span>	P02870
<span RHS><i>Hemerocallis</i> 'Stoke Poges'</span>	P02871
<span RHS><i>Inula hookeri</i></span>	P02872
<span RHS><i>Iris</i> 'Butter and Sugar' (Sib) AGM</span>	P02873
<i>Iris sibirica</i> 'Ego'	P02874
<span RHS><i>Iris</i> 'Sugar Magnolia' (TB)</span>	P02875
<span RHS><i>Kniphofia</i> 'Flaming Torch'</span>	P02876
<span RHS><i>Kniphofia</i> 'Ice Queen'</span>	P02877
<span RHS><i>Kniphofia</i> 'John Benary'</span>	P02878
<span RHS><i>Kniphofia</i> 'Rich Echoes' AGM</span>	P02879
<span RHS><i>Lamium orvala</i></span>	P02880
<span RHS><i>Lychnis chalcedonica</i> 'Salmonea'</span>	P02882
<span RHS><i>Lysimachia clethroides</i> AGM</span>	P02883
<span RHS><i>Monarda</i> 'Gardenview Scarlet' AGM</span>	P02884
<span RHS><i>Paeonia</i> 'Buckeye Belle' (d)</span>	P02886
<span RHS><i>Paeonia lactiflora</i> 'Festiva Maxima' AGM</span>	P02887
<span RHS><i>Paeonia lactiflora</i> 'Zi Yu Nu'</span>	P02888
<span RHS><i>Paeonia</i> 'Red Charm'</span>	P02889
<span RHS><i>Paeonia</i> 'Scarlet O'Hara'</span>	P02890
<span RHS><i>Papaver</i> (Oriental Group) 'Allegro'</span>	P02891
<span RHS><i>Papaver</i> (Oriental Group) 'Fatima'</span>	P02892
<span RHS><i>Papaver</i> (Oriental Group) 'Türkenlouis'</span>	P02893
<span RHS><i>Penstemon</i> 'George Home' AGM</span>	P02894
<span RHS><i>Penstemon</i> 'Osprey' (Bird Series) AGM</span>	P02895
<span RHS><i>Penstemon</i> 'Pensham Czar' (Pensham Series)</span>	P02896
<span RHS><i>Penstemon</i> 'Port Wine' AGM</span>	P02897
<span RHS><i>Phlox paniculata</i> 'Bright Eyes'</span>	P02898
<span RHS><i>Phlox paniculata</i> 'Mother of Pearl' AGM</span>	P02899
<span RHS><i>Phlox paniculata</i> 'Uspekh' AGM</span>	P02900
<span RHS><i>Phlox paniculata</i> 'Peppermint Twist'</span>	P02901
<span RHS><i>Phygelius</i> <span class="trade-name">New Sensation</span> = 'Blaphy' <sup>(PBR)</sup></span>	P02902
<span RHS><i>Platycodon grandiflorus</i> AGM</span>	P02903
<span RHS><i>Primula</i> 'Don Keefe' (Pr/Poly)</span>	P02904
<span RHS><i>Primula vulgaris</i> 'Lilacina Plena' (Pr/Prim/d)</span>	P02905
<span RHS><i>Pulmonaria</i> 'Blue Ensign' AGM</span>	P02906
<span RHS><i>Pulmonaria</i> 'Mrs Kittle'</span>	P02907
<span RHS><i>Rudbeckia fulgida</i> var. <i>deamii</i> AGM</span>	P02908
<span RHS><i>Rudbeckia hirta</i> 'Irish Eyes'</span>	P02909
<span RHS><i>Hylotelephium erythrostictum</i> 'Frosty Morn' (v)</span>	P02910
<span RHS><i>Hylotelephium</i> 'Matrona' AGM</span>	P02911
<span RHS><i>Sidalcea</i> 'Little Princess' <sup>(PBR)</sup></span>	P02912
<i>Tithonia</i> 'Goldfinger'	P02913
<span RHS><i>Tradescantia</i> (Andersoniana Group) 'Concord Grape' AGM</span>	P02914
<span RHS><i>Tradescantia</i> (Andersoniana Group) 'Purple Dome'</span>	P02915
<span RHS><i>Tricyrtis hirta</i></span>	P02916
<span RHS><i>Trillium erectum</i> f. <i>albiflorum</i></span>	P02917
<span RHS><i>Viola</i> 'Elaine Quin'</span>	P02918
<span RHS><i>Zantedeschia aethiopica</i> 'Little Gem'</span>	P02919
<span RHS><i>Erythronium dens-canis</i> 'Old Aberdeen' AGM</span>	P02920
<span RHS><i>Abeliophyllum distichum</i></span>	P02921
<span RHS><i>Alcea ficifolia</i></span>	P02922
<span RHS><i>Anemone nemorosa</i> 'Vestal' (d) AGM</span>	P02923
<span RHS><i>Anthemis punctata</i> subsp. <i>cupaniana</i> AGM</span>	P02924
<span RHS><i>Aruncus dioicus</i> (m) AGM</span>	P02925
<span RHS><i>Campanula portenschlagiana</i> AGM</span>	P02926
<span RHS><i>Ceanothus</i> 'Pin Cushion'</span>	P02927
<span RHS><i>Chaenomeles speciosa</i> 'Geisha Girl' (d) AGM</span>	P02928
<span RHS><i>Chaenomeles</i> &times; <i>superba</i> 'Fire Dance'</span>	P02929
<span RHS><i>Scilla luciliae</i> Gigantea Group</span>	P02930
<span RHS><i>Clematis alpina</i></span>	P02931
<span RHS><i>Clematis</i> 'Bowl of Beauty' (Ar)</span>	P02932
<span RHS><i>Clematis</i> 'Elizabeth' (M) AGM</span>	P02933
<span RHS><i>Clematis</i> 'M. Koster' (Vt)</span>	P02934
<span RHS><i>Clematis</i> 'Markham's Pink' (A/d) AGM</span> Ad	P02935
<span RHS><i>Clematis</i> 'Perle d'Azur' (LL) AGM</span>	P02936
<span RHS><i>Dahlia</i> 'Bishop of Llandaff' (P) AGM</span> Misc	P02937
<span RHS><i>Deutzia scabra</i></span>	P02938
<span RHS><i>Deutzia</i> &times; <i>hybrida</i> 'Mont Rose' AGM</span>	P02939
<span RHS><i>Eccremocarpus scaber</i></span>	P02940
<span RHS><i>Euonymus fortunei</i> 'Emerald 'n' Gold' (v) AGM</span>	P02941
<span RHS><i>Fritillaria meleagris</i> var. <i>unicolor</i> subvar. <i>alba</i> AGM</span>	P02942
<span RHS><i>Geranium</i> 'Orion' AGM</span>	P02943
<span RHS><i>Hebe</i> 'Red Edge' AGM</span>	P02944
<span RHS><i>Hydrangea aspera</i> Villosa Group</span>	P02945
<span RHS><i>Iberis</i> 'Dick Self'</span>	P02946
<span RHS><i>Iris</i> 'Blue Shimmer' (TB)</span>	P02947
<span RHS><i>Iris unguicularis</i> 'Mary Barnard' AGM</span>	P02948
<span RHS><i>Lilium</i> 'Courier' <sup>(PBR)</sup> (VIIIa/b)</span>	P02949
<span RHS><i>Lilium</i> 'Enchantment' (Ia/b)</span>	P02950
<span RHS><i>Magnolia</i> &times; <i>loebneri</i> 'Merrill' AGM</span>	P02951
<span RHS><i>Mahonia</i> &times; <i>media</i> 'Winter Sun' AGM</span>	P02952
<span RHS><i>Malus sargentii</i></span>	P02953
<span RHS><i>Nerine bowdenii</i> AGM</span>	P02954
<span RHS><i>Oenothera macrocarpa</i> AGM</span>	P02955
<span RHS><i>Oenothera speciosa</i> 'Rosea'</span>	P02956
<span RHS><i>Osmanthus delavayi</i> AGM</span>	P02957
<span RHS><i>Penstemon</i> 'Andenken an Friedrich Hahn' AGM</span>	P02958
<span RHS><i>Rosa</i> 'Dortmund' (S) AGM</span>	P02959
<span RHS><i>Rosa</i> 'Francis E. Lester' (HM/Ra) AGM</span> HM-Ra	P02960
<span RHS><i>Rosa</i> 'Frühlingsgold' (SpH) AGM</span>	P02961
<span RHS><i>Rosa</i> 'Marguerite Hilling' (S)</span>	P02962
<span RHS><i>Rosa multiflora</i> (Ra)</span> - on old apple tree	P02963
<span RHS><i>Rosa</i> 'Phyllis Bide' (Ra) AGM</span>	P02964
<span RHS><i>Rosa</i> <span class="trade-name">Windrush</span> = 'Ausrush' (S)</span>	P02965
<span RHS><i>Sanguinaria canadensis</i> f. <i>multiplex</i> 'Plena' (d) AGM</span>	P02966
<span RHS><i>Skimmia japonica</i> subsp. <i>reevesiana</i></span>	P02967
<span RHS><i>Tropaeolum tuberosum</i> var. <i>lineomaculatum</i> 'Ken Aslet' AGM</span>	P02968
<span RHS><i>Viburnum plicatum</i> f. <i>tomentosum</i> 'Summer Snowflake' AGM</span>	P02969
<span RHS><i>Viburnum</i> &times; <i>carlcephalum</i> AGM</span>	P02970
<span RHS><i>Wisteria sinensis</i></span>	P02971
<span RHS><i>Anemone coronaria</i> 'Sylphide' (Mona Lisa Series)</span> && <span RHS><i>Allium tuberosum</i></span>	P02972
<span RHS><i>Acaena microphylla</i> 'Kupferteppich'</span>	P02973
<span RHS><i>Acer griseum</i> AGM</span>	P02974
<span RHS><i>Acer griseum</i> AGM</span>	P02975
<span RHS><i>Acer griseum</i> AGM</span>	P02976
<span RHS><i>Aconitum carmichaelii</i> Wilsonii Group</span>	P02977
<span RHS><i>Aconitum</i> &times; <i>cammarum</i> 'Eleanora'</span>	P02978
<span RHS><i>Aconitum</i> &times; <i>cammarum</i> 'Eleanora'</span>	P02979
<span RHS><i>Acorus gramineus</i> 'Ogon' (v)</span>	P02980
<span RHS><i>Adiantum aleuticum</i> 'Subpumilum' AGM</span>	P02981
<span RHS><i>Adiantum venustum</i> AGM</span>	P02982
<span RHS><i>Adiantum venustum</i> AGM</span>	P02983
<span RHS><i>Agapanthus</i> Headbourne hybrids</span>	P02984
<span RHS><i>Agastache rugosa</i> 'Golden Jubilee'</span>	P02985
<span RHS><i>Agastache rugosa</i> 'Golden Jubilee'</span>	P02986
<span RHS><i>Ageratina altissima</i> 'Chocolate'</span>	P02987
<span RHS><i>Ageratina altissima</i> 'Chocolate'</span>	P02988
<span RHS><i>Panicum</i> 'Fibre Optics'</span>	P02989
<span RHS><i>Panicum</i> 'Fibre Optics'</span>	P02990
<span RHS><i>Alchemilla mollis</i> AGM</span>	P02991
<span RHS><i>Alchemilla mollis</i> AGM</span>	P02992
<span RHS><i>Alchemilla mollis</i> AGM</span>	P02993
<span RHS><i>Allium cristophii</i> AGM</span>	P02994
<span RHS><i>Allium schubertii</i></span>	P02995
<span RHS><i>Allium schubertii</i></span>	P02996
<span RHS><i>Allium triquetrum</i></span>	P02997
<span RHS><i>Amaranthus caudatus</i></span>	P02998
<span RHS><i>Amaranthus caudatus</i></span>	P02999
<span RHS><i>Amaryllis belladonna</i> AGM</span>	P03000
<span RHS><i>Amaryllis belladonna</i> AGM</span>	P03001
<span RHS><i>Anchusa azurea</i> 'Loddon Royalist'</span>	P03002
<span RHS><i>Anchusa azurea</i> 'Loddon Royalist'</span>	P03003
<span RHS><i>Anemone hupehensis</i> 'Praecox'</span>	P03004
<i>Anemone</i> &times; <i>hybrida</i> 'Margarete'	P03005
<span RHS><i>Anthriscus sylvestris</i> 'Ravenswing'</span>	P03006
<span RHS><i>Araujia sericifera</i></span>	P03007
<span RHS><i>Artemisia princeps</i></span>	P03008
<span RHS><i>Artemisia princeps</i></span>	P03009
<span RHS><i>Arum italicum</i></span>	P03010
<span RHS><i>Arum italicum</i></span>	P03011
<span RHS><i>Arum italicum</i></span>	P03012
<span RHS><i>Arum italicum</i></span>	P03013
<span RHS><i>Aster</i> &times; <i>frikartii</i> 'Flora's Delight'</span>	P03014
<span RHS><i>Aurinia saxatilis</i> AGM</span>	P03015
<span RHS><i>Aurinia saxatilis</i> AGM</span>	P03016
<span RHS><i>Banksia baxteri</i></span>	P03017
<span RHS><i>Banksia baxteri</i></span>	P03018
<span RHS><i>Blechnum chilense</i> AGM</span>	P03019
<span RHS><i>Borago officinalis</i> 'Alba'</span>	P03020
<span RHS><i>Borago officinalis</i> 'Alba'</span>	P03021
<span RHS><i>Borago officinalis</i> 'Alba'</span>	P03022
<span RHS><i>Briza maxima</i></span>	P03023
<span RHS><i>Briza maxima</i></span>	P03024
<span RHS><i>Brugmansia</i> 'Herzenbrücke'</span>	P03025
<span RHS><i>Brunnera macrophylla</i> 'Jack Frost' <sup>(PBR)</sup> AGM</span>	P03026
<span RHS><i>Calceolaria integrifolia</i> AGM</span>	P03027
<span RHS><i>Campanula incurva</i></span>	P03028
<span RHS><i>Campanula incurva</i></span>	P03029
<span RHS><i>Campanula poscharskyana</i></span>	P03030
<span RHS><i>Campanula poscharskyana</i></span>	P03031
<span RHS><i>Campanula poscharskyana</i></span>	P03032
<span RHS><i>Campanula pyramidalis</i></span>	P03033
<span RHS><i>Campanula pyramidalis</i></span>	P03034
<span RHS><i>Cardiocrinum giganteum</i></span>	P03036
<span RHS><i>Cercis canadensis</i> 'Forest Pansy' AGM</span>	P03037
<span RHS><i>Cercis canadensis</i> 'Forest Pansy' AGM</span>	P03038
<span RHS><i>Cichorium intybus</i></span>	P03039
<span RHS><i>Cichorium intybus</i></span>	P03040
<span RHS><i>Clematis</i> 'Perle d'Azur' (LL) AGM</span>	P03041
<span RHS><i>Clematis rehderiana</i> AGM</span>	P03042
<span RHS><i>Clematis tangutica</i></span>	P03043
<span RHS><i>Cobaea scandens</i> AGM</span>	P03044
<span RHS><i>Cobaea scandens</i> AGM</span>	P03045
<span RHS><i>Colchicum autumnale</i></span>	P03046
