Caption	Image ID
<span RHS><i>Campanula persicifolia</i> var. <i>alba</i></span>	P00096
<span RHS><i>Caryopteris</i> &times; <i>clandonensis</i></span>	P00097
<span RHS><i>Centaurea montana</i> 'Alba'</span>	P00098
<span RHS><i>Centaurea montana</i> 'Alba'</span>	P00099
<span RHS><i>Centaurea montana</i> 'Alba'</span>	P00100
<span RHS><i>Centaurea montana</i></span>	P00101
<span RHS><i>Cephalaria gigantea</i></span>	P00102
<span RHS><i>Cistus</i> &times; <i>argenteus</i> 'Silver Pink' ambig.</span>	P00103
<span RHS><i>Cistus</i> &times; <i>argenteus</i> 'Silver Pink' ambig.</span>	P00104
<span RHS><i>Clematis</i> 'Mrs N. Thompson' (EL)</span>	P00105
<span RHS><i>Clematis cirrhosa</i> var. <i>purpurascens</i> 'Freckles' (C) AGM</span>	P00106
<span RHS><i>Clematis</i> 'Ernest Markham' (LL) AGM</span>	P00107
<span RHS><i>Clematis</i> 'Hagley Hybrid' (LL)</span>	P00108
<span RHS><i>Clematis</i> 'Marie Boisselot' (EL) AGM</span>	P00109
<span RHS><i>Clematis tangutica</i></span>	P00110
<span RHS><i>Clematis tangutica</i></span>	P00111
<span RHS><i>Clematis</i> 'Purpurea Plena Elegans' (Vt/d) AGM</span> Vtd	P00112
<span RHS><i>Coreopsis verticillata</i> 'Moonbeam'</span>	P00113
<span RHS><i>Coreopsis verticillata</i> 'Moonbeam'</span>	P00114
<span RHS><i>Crocosmia</i> 'Lucifer' AGM</span>	P00115
<span RHS><i>Dianthus superbus</i></span>	P00116
<span RHS><i>Lamprocapnos spectabilis</i> AGM</span>	P00117
<span RHS><i>Dierama pulcherrimum</i> 'Blackbird'</span>	P00118
<span RHS><i>Dierama pulcherrimum</i> 'Blackbird'</span>	P00119
<span RHS><i>Euphorbia griffithii</i> 'Dixter'</span>	P00120
<i>Festuca glauca</i>	P00121
<span RHS><i>Francoa sonchifolia</i></span>	P00122
<span RHS><i>Geranium</i> 'Dusky Crûg'</span>	P00123
<span RHS><i>Geranium</i> 'Orkney Pink'</span>	P00126
<span RHS><i>Geranium</i> 'Orkney Pink'</span>	P00127
<span RHS><i>Geranium endressii</i> AGM</span>	P00130
<span RHS><i>Geranium endressii</i> AGM</span>	P00131
<span RHS><i>Geranium macrorrhizum</i></span>	P00132
<span RHS><i>Geranium phaeum</i></span>	P00134
<span RHS><i>Geranium phaeum</i> var. <i>phaeum</i> 'Samobor'</span>	P00135
<span RHS><i>Geranium pratense</i></span>	P00136
<span RHS><i>Geranium sanguineum</i></span>	P00139
<span RHS><i>Geranium sanguineum</i></span>	P00140
<span RHS><i>Geum</i> 'Blazing Sunset' (d)</span>	P00141
<span RHS><i>Geum</i> 'Borisii'</span>	P00142
<span RHS><i>Geum</i> 'Fire Opal' (d) AGM</span>	P00143
<span RHS><i>Geum</i> 'Fire Opal' (d) AGM</span>	P00144
<span RHS><i>Geum rivale</i> 'Leonard's Variety'</span>	P00145
<span RHS><i>Geum rivale</i> 'Leonard's Variety'</span>	P00146
<span RHS><i>Achillea millefolium</i> 'Cerise Queen'</span>	P00147
<span RHS><i>Achillea millefolium</i> 'Cerise Queen'</span>	P00148
<span RHS><i>Achillea filipendulina</i> 'Cloth of Gold' AGM</span>	P00149
<span RHS><i>Achillea</i> 'Fanal'</span>	P00150
<span RHS><i>Achillea</i> 'Fanal'</span>	P00151
<span RHS><i>Ajuga reptans</i> 'Braunherz'</span>	P00152
<span RHS><i>Alstroemeria</i> Doctor Salter's hybrids</span>	P00153
<span RHS><i>Alstroemeria</i> Doctor Salter's hybrids</span>	P00154
<span RHS><i>Anthemis tinctoria</i> 'Wargrave Variety'</span>	P00155
<span RHS><i>Anthemis tinctoria</i> 'Wargrave Variety'</span>	P00156
<span RHS><i>Anthemis tinctoria</i></span>	P00157
<span RHS><i>Anthemis tinctoria</i></span>	P00158
<span RHS><i>Symphyotrichum novi-belgii</i> 'Winston S. Churchill'</span>	P00159
<span RHS><i>Bergenia</i> 'Morgenröte' AGM</span>	P00160
<span RHS><i>Ceratostigma griffithii</i></span>	P00161
<span RHS><i>Coreopsis grandiflora</i> 'Early Sunrise' AGM</span>	P00162
<span RHS><i>Coreopsis grandiflora</i> 'Early Sunrise' AGM</span>	P00163
<span RHS><i>Coreopsis grandiflora</i> 'Early Sunrise' AGM</span>	P00164
<span RHS><i>Coreopsis rosea</i> 'American Dream'</span>	P00165
<span RHS><i>Coreopsis rosea</i> 'American Dream'</span>	P00166
<span RHS><i>Dierama igneum</i></span>	P00167
<span RHS><i>Dierama igneum</i></span>	P00168
